iso_code,country,2022_last_updated,2020_population,area,growth_rate,world_%,rank,density_sq_km
MAF,Saint Martin,"39,730","38,666",53 sq_km,0.01,0,215,750/sq_km
LIE,Liechtenstein,"38,387","38,128",160 sq_km,0,0,216,240/sq_km
SMR,San Marino,"34,085","33,931",61 sq_km,0,0,217,559/sq_km
GIB,Gibraltar,"33,704","33,691",6 sq_km,0,0,218,"5,617/sq_km"
PLW,Palau,"18,233","18,094",459 sq_km,0,0,220,40/sq_km
COK,Cook Islands,"17,571","17,564",236 sq_km,0,0,221,74/sq_km
AIA,Anguilla,"15,230","15,003",91 sq_km,0.01,0,222,167/sq_km
TUV,Tuvalu,"12,066","11,792",26 sq_km,0.01,0,223,464/sq_km
WLF,Wallis And Futuna,"10,982","11,239",142 sq_km,-0.01,0,224,77/sq_km
NRU,Nauru,"10,903","10,824",21 sq_km,0,0,225,519/sq_km
BL,Saint Barthelemy,"9,945","9,877",21 sq_km,0,0,226,474/sq_km
SPM,Saint Pierre And Miquelon,"5,759","5,794",242 sq_km,0,0,227,24/sq_km
MSR,Montserrat,"4,965","4,992",102 sq_km,0,0,228,49/sq_km
FLK,Falkland Islands,"3,539","3,480","12,173 sq_km",0,0,229,0/sq_km
NIU,Niue,"1,622","1,626",260 sq_km,0,0,230,6/sq_km
TKL,Tokelau,"1,378","1,357",12 sq_km,0,0,231,115/sq_km
VAT,Vatican City,799,801,1 sq_km,0,0,232,799/sq_km
